,feature_name,range,frequency_mhz
1874,50-150__99.600000MHz,50-150,99.6
1875,50-150__99.733333MHz,50-150,99.733333
1876,50-150__99.866667MHz,50-150,99.866667
1877,50-150__100.000000MHz,50-150,100.0
1878,50-150__100.133333MHz,50-150,100.133333
1879,50-150__100.266667MHz,50-150,100.266667
1880,50-150__100.400000MHz,50-150,100.4
1881,50-150__100.533333MHz,50-150,100.533333
1882,50-150__100.666667MHz,50-150,100.666667
1883,50-150__100.800000MHz,50-150,100.8
1884,50-150__100.933333MHz,50-150,100.933333
1885,50-150__101.066667MHz,50-150,101.066667
1886,50-150__101.200000MHz,50-150,101.2
1887,50-150__101.333333MHz,50-150,101.333333
1888,50-150__101.466667MHz,50-150,101.466667
1889,50-150__101.600000MHz,50-150,101.6
1890,50-150__101.733333MHz,50-150,101.733333
1891,50-150__101.866667MHz,50-150,101.866667
1892,50-150__102.000000MHz,50-150,102.0
1893,50-150__102.133333MHz,50-150,102.133333
1894,50-150__102.266667MHz,50-150,102.266667
1895,50-150__102.400000MHz,50-150,102.4
1896,50-150__102.533333MHz,50-150,102.533333
1897,50-150__102.666667MHz,50-150,102.666667
1898,50-150__102.800000MHz,50-150,102.8
1899,50-150__102.933333MHz,50-150,102.933333
1900,50-150__103.066667MHz,50-150,103.066667
1901,50-150__103.200000MHz,50-150,103.2
1902,50-150__103.333333MHz,50-150,103.333333
1903,50-150__103.466667MHz,50-150,103.466667
1904,50-150__103.600000MHz,50-150,103.6
1905,50-150__103.733333MHz,50-150,103.733333
1906,50-150__103.866667MHz,50-150,103.866667
1907,50-150__104.000000MHz,50-150,104.0
1908,50-150__104.133333MHz,50-150,104.133333
1909,50-150__104.266667MHz,50-150,104.266667
1910,50-150__104.400000MHz,50-150,104.4
1911,50-150__104.533333MHz,50-150,104.533333
1912,50-150__104.666667MHz,50-150,104.666667
1913,50-150__104.800000MHz,50-150,104.8
1914,50-150__104.933333MHz,50-150,104.933333
1915,50-150__105.066667MHz,50-150,105.066667
1916,50-150__105.200000MHz,50-150,105.2
1917,50-150__105.333333MHz,50-150,105.333333
1918,50-150__105.466667MHz,50-150,105.466667
1919,50-150__105.600000MHz,50-150,105.6
1920,50-150__105.733333MHz,50-150,105.733333
1921,50-150__105.866667MHz,50-150,105.866667
1922,50-150__106.000000MHz,50-150,106.0
1923,50-150__106.133333MHz,50-150,106.133333
1924,50-150__106.266667MHz,50-150,106.266667
1925,50-150__106.400000MHz,50-150,106.4
1926,50-150__106.533333MHz,50-150,106.533333
1927,50-150__106.666667MHz,50-150,106.666667
1928,50-150__106.800000MHz,50-150,106.8
1929,50-150__106.933333MHz,50-150,106.933333
1930,50-150__107.066667MHz,50-150,107.066667
1931,50-150__107.200000MHz,50-150,107.2
1932,50-150__107.333333MHz,50-150,107.333333
1933,50-150__107.466667MHz,50-150,107.466667
